1cebc97c-b4a6-4b05-a869-35e0e6ffc4ee,mike,44,BMSTU,01.01.01,3434
995f35f9-ba10-4572-8c53-aee7526d3d9d,ff,33,BMSTU,01.01.01,33
34750cbb-7f90-47b6-8df2-a5383699e856,rr,33,ee,22.22.22,33
c7574df4-3089-4147-b25e-d0369de4b745,rr,44,rr,33.33.33,33
d2cb402e-659b-4045-a432-0a54435fdd1f,rf,33,rr,33.33.33,33
da96025e-0b1c-4557-9571-54529a727479,er,22,BMSTU,01.01.01,11111
162ed660-24bf-41fb-918e-d44564d3e073,r,33,BMSTU,01.01.01,4
7978c2d4-9abd-4cd2-84da-4285ba965bac,r,22,BMSTU,01.01.01,222
79635f36-3452-4709-ae05-e9f04b01de89,r,33,BMSTU,01.01.01,4
a1e94a8e-2b19-4ff9-844f-8c380e1ba634,r,22,BMSTU,01.01.01,4
68e72551-42d5-4ca5-84ec-d7c3dec8a84f,e,33,ee,44.44.44,44
